Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open to Home page,16,16,10,27,40,52,8,52,0.000%,1.74254,55.02,0.82
Open Random Date,18,10,9,14,15,20,7,20,0.000%,2.03551,56.64,1.00
Open post,36,15,13,26,32,57,8,57,0.000%,3.97439,100.96,1.93
Open Search by name,19,15,11,28,34,41,7,41,0.000%,2.28778,59.26,1.12
Comment,16,13,8,11,49,55,7,55,0.000%,1.93143,4.54,4.46
Open Large Calendar,13,16,11,26,26,38,9,38,0.000%,1.50847,42.85,0.75
Open Random Page,37,11,9,17,19,40,6,40,0.000%,4.30834,103.10,2.14
Open Predefined Date,21,12,8,27,28,57,5,57,0.000%,3.01941,48.30,1.49
Open Contacts,14,11,7,15,15,59,6,59,0.000%,1.76278,36.71,0.85
TOTAL,190,13,9,27,36,57,5,59,0.000%,20.41913,465.61,13.12
