Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main script:Open to Home page,33,15,10,26,32,53,8,53,0.000%,3.04906,96.27,1.42
Main script:Open post,60,18,15,35,37,51,7,56,0.000%,5.79990,147.38,2.83
Main script:Comment,24,18,10,36,53,73,7,73,0.000%,2.37600,5.59,5.50
Main script:Open Search by name,29,17,15,38,47,53,8,53,0.000%,2.78044,71.99,1.36
Main script:Open Large Calendar,43,16,11,31,47,51,8,51,0.000%,3.99035,113.35,1.98
Main script:Open Random Date,31,14,9,27,32,41,6,41,0.000%,2.92784,81.91,1.44
Main script:Open Random Page,54,16,11,34,44,53,6,55,0.000%,5.10735,126.22,2.54
Main script:Open Predefined Date,38,15,9,33,44,53,5,53,0.000%,3.74643,59.92,1.85
Main script:Open Contacts,28,18,10,39,50,62,7,62,0.000%,3.49258,72.74,1.69
TOTAL,340,16,11,35,47,55,5,73,0.000%,30.74697,722.37,18.99
