Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,16,16,8,52,12.59,0.000%,1.74254,55.02,0.82,32332.0
Open Random Date,18,10,7,20,3.40,0.000%,2.03551,56.64,1.00,28491.7
Open post,36,15,8,57,9.72,0.000%,3.97439,100.96,1.93,26012.4
Open Search by name,19,15,7,41,9.75,0.000%,2.28778,59.26,1.12,26525.2
Comment,16,13,7,55,14.57,0.000%,1.93143,4.54,4.46,2409.5
Open Large Calendar,13,16,9,38,8.17,0.000%,1.50847,42.85,0.75,29087.0
Open Random Page,37,11,6,40,7.06,0.000%,4.30834,103.10,2.14,24504.5
Open Predefined Date,21,12,5,57,11.66,0.000%,3.01941,48.30,1.49,16379.0
Open Contacts,14,11,6,59,13.33,0.000%,1.76278,36.71,0.85,21326.0
TOTAL,190,13,5,59,10.33,0.000%,20.41913,465.61,13.12,23349.8
