Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,40,14,8,41,9.11,0.000%,5.06457,159.91,2.36,32332.0
Open Predefined Date,34,10,5,33,6.91,0.000%,3.85837,61.72,1.89,16379.0
Open Contacts,37,15,6,109,17.76,0.000%,4.53821,94.50,2.18,21322.5
Open Search by name,29,13,6,41,9.91,0.000%,3.37759,87.45,1.65,26514.1
Open Random Page,78,11,5,48,8.27,0.000%,8.99239,227.40,4.42,25895.4
Open Random Date,33,12,6,78,12.69,0.000%,3.91691,113.81,1.93,29752.5
Open post,49,14,6,71,11.24,0.000%,5.80913,148.00,2.83,26088.1
Open Large Calendar,29,14,8,58,9.89,0.000%,3.70040,105.11,1.83,29087.0
Comment,30,14,5,70,14.64,0.000%,3.66032,8.61,8.46,2407.3
TOTAL,359,13,5,109,11.38,0.000%,38.94554,911.49,24.89,23965.9
