Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,15,14,8,54,12.18,0.000%,2.44459,77.81,1.15,32595.3
Open Random Date,19,9,6,33,5.71,0.000%,2.67908,74.08,1.31,28316.4
Open Random Page,34,9,6,23,3.55,0.000%,5.01771,117.83,2.48,24045.5
Open Large Calendar,20,10,8,40,6.71,0.000%,3.06843,87.07,1.52,29056.0
Open post,23,11,7,30,4.63,0.000%,3.40589,86.92,1.66,26132.0
Comment,10,7,6,12,1.69,0.000%,1.76367,4.15,4.09,2408.0
Open Contacts,18,8,6,26,4.74,0.000%,3.05292,63.58,1.48,21326.0
Open Search by name,11,8,7,16,2.52,0.000%,1.82210,47.17,0.90,26510.1
Open Predefined Date,18,8,5,28,5.61,0.000%,3.09544,49.51,1.53,16379.0
TOTAL,168,9,5,54,6.13,0.000%,23.34306,545.61,13.97,23934.7
