Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open to Home page,32,42,33,77,79,137,9,137,0.000%,4.36681,137.67,2.02
Open Contacts,18,22,22,39,42,55,6,55,0.000%,2.48276,51.81,1.17
Open Random Date,28,34,19,78,103,109,6,109,0.000%,4.18035,121.47,2.06
Open post,54,33,21,78,83,97,7,102,0.000%,7.63359,194.59,3.70
Comment,28,40,32,86,101,204,7,204,0.000%,3.97107,9.34,9.17
Open Large Calendar,36,36,28,77,82,125,8,125,0.000%,5.24170,150.74,2.59
Open Search by name,22,40,27,89,127,139,7,139,0.000%,3.19535,82.92,1.53
Open Random Page,45,33,27,59,84,174,7,174,0.000%,7.14059,181.68,3.52
Open Predefined Date,17,46,30,102,109,143,6,143,0.000%,3.55946,56.93,1.76
TOTAL,280,36,28,82,100,139,6,204,0.000%,38.20961,909.31,25.49
