Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,65,62,10,127,32.32,0.000%,5.57175,176.30,2.54,32401.0
Open Search by name,68,62,7,149,39.93,0.000%,5.52441,143.61,2.63,26619.1
Open post,95,65,8,164,36.41,0.000%,7.72798,197.28,3.71,26141.0
Comment,48,86,8,219,49.46,0.000%,3.94542,9.28,9.10,2408.9
Open Predefined Date,66,53,5,135,30.68,0.000%,5.59464,89.78,2.69,16432.0
Open Large Calendar,64,60,9,199,36.05,1.562%,5.30021,151.20,2.56,29211.5
Open Contacts,77,58,7,164,34.65,0.000%,6.45053,134.92,3.02,21417.6
Open Random Page,122,63,8,205,34.68,0.820%,10.42112,246.90,5.00,24260.4
Open Random Date,68,68,8,157,35.57,0.000%,6.20381,176.73,2.98,29171.2
TOTAL,673,63,5,219,37.10,0.297%,54.37505,1267.30,33.00,23866.0
